id_reserva;cancelado;antelacion_reserva;noches_finde;noches_semana;adultos;niños;bebes;regimen_pension;pais;segmento;canal;vuelve;tipo_hab_reservada;tipo_hab_asignada;tipo_deposito;adr;parking;estado_reserva;fecha
1;0;37;0;4;2;0;0;BB;PRT;Offline TA/TO;TA/TO;0;E;E;No Deposit;97.5;0;Check-Out;05/07/2015
2;0;7;0;4;2;0;0;BB;GBR;Direct;Direct;0;G;G;No Deposit;153;0;Check-Out;05/07/2015
777;0;183;0;1;2;0;0;BB;PRT;Offline TA/TO;TA/TO;0;A;A;No Deposit;55.68;0;Check-Out;05/07/2015
3951;0;18;0;4;2;1;0;HB;ESP;Online TA;TA/TO;0;G;G;No Deposit;154.77;0;Check-Out;05/07/2015
4704;0;116;0;2;3;0;0;HB;PRT;Online TA;TA/TO;0;G;G;No Deposit;201;1;Check-Out;05/07/2015
5892;0;68;0;4;2;0;0;BB;IRL;Online TA;TA/TO;0;D;E;No Deposit;97;0;Check-Out;05/07/2015
7887;0;8;0;1;2;0;0;BB;ESP;Online TA;TA/TO;0;E;E;No Deposit;123;0;Check-Out;05/07/2015
9949;0;2;0;2;2;0;0;HB;PRT;Offline TA/TO;TA/TO;0;A;A;No Deposit;91.5;0;Check-Out;05/07/2015
11890;0;10;0;2;2;2;0;BB;USA;Online TA;TA/TO;0;G;H;No Deposit;153;1;Check-Out;05/07/2015
11894;0;32;0;1;4;0;0;FB;PRT;Complementary;Direct;0;H;H;No Deposit;0;0;Check-Out;05/07/2015
18639;0;181;0;4;2;0;0;BB;PRT;Online TA;TA/TO;0;D;E;No Deposit;153;0;Check-Out;05/07/2015
38;1;25;0;1;2;0;0;BB;PRT;Online TA;TA/TO;0;A;A;No Deposit;153;0;Canceled;06/07/2015
3954;0;100;1;1;2;0;0;BB;FRA;Online TA;TA/TO;0;A;C;No Deposit;73.8;1;Check-Out;06/07/2015
4018;1;57;0;3;2;0;1;HB;PRT;Online TA;TA/TO;0;A;A;No Deposit;157.67;0;Canceled;06/07/2015
5900;0;2;1;0;2;0;0;BB;PRT;Online TA;TA/TO;0;A;E;No Deposit;98;0;Check-Out;06/07/2015
5901;0;0;0;0;1;0;0;BB;PRT;Direct;Direct;0;E;H;No Deposit;0;0;Check-Out;06/07/2015
5920;1;67;0;2;2;0;0;BB;PRT;Online TA;TA/TO;0;D;D;No Deposit;135;0;Canceled;06/07/2015
5941;1;54;2;5;3;1;0;BB;PRT;Direct;Direct;0;C;C;No Deposit;218;0;Canceled;06/07/2015
6006;1;119;1;0;2;0;0;BB;PRT;Online TA;TA/TO;0;A;A;No Deposit;40.5;0;Canceled;06/07/2015
6630;0;0;1;0;2;2;0;BB;USA;Online TA;TA/TO;0;G;G;No Deposit;153;0;Check-Out;06/07/2015
7920;1;34;1;4;2;0;0;HB;PRT;Online TA;TA/TO;0;A;A;No Deposit;164;0;Canceled;06/07/2015
7922;1;30;0;3;2;0;0;BB;PRT;Online TA;TA/TO;0;A;A;No Deposit;146.67;0;Canceled;06/07/2015
8669;1;197;1;5;2;0;0;BB;PRT;Online TA;TA/TO;0;A;A;No Deposit;123;0;Canceled;06/07/2015
9954;0;100;1;1;2;0;0;BB;FRA;Online TA;TA/TO;0;A;A;No Deposit;73.8;0;Check-Out;06/07/2015
9977;1;19;1;3;2;2;0;BB;PRT;Online TA;TA/TO;0;H;H;No Deposit;210;0;Canceled;06/07/2015
11936;1;61;0;3;2;0;0;BB;PRT;Online TA;TA/TO;0;A;A;No Deposit;153;0;Canceled;06/07/2015
12634;0;135;1;1;2;0;0;BB;PRT;Direct;Direct;0;E;G;No Deposit;154;1;Check-Out;06/07/2015
13883;1;19;1;3;2;0;0;BB;PRT;Online TA;TA/TO;0;D;D;No Deposit;173;0;Canceled;06/07/2015
15837;0;36;1;3;3;0;0;BB;PRT;Online TA;TA/TO;0;D;D;No Deposit;108.8;0;Check-Out;06/07/2015
15843;0;100;1;1;2;0;0;BB;FRA;Online TA;TA/TO;0;A;C;No Deposit;73.8;0;Check-Out;06/07/2015
15844;0;0;1;0;2;0;0;BB;ESP;Online TA;TA/TO;0;A;C;No Deposit;85.1;0;Check-Out;06/07/2015
17927;1;25;0;2;2;0;0;BB;PRT;Online TA;TA/TO;0;A;A;No Deposit;153;0;Canceled;06/07/2015
17947;1;55;0;2;2;0;0;HB;PRT;Online TA;TA/TO;0;A;A;No Deposit;164;0;Canceled;06/07/2015
17993;1;119;1;0;2;0;0;BB;PRT;Online TA;TA/TO;0;A;A;No Deposit;40.5;0;Canceled;06/07/2015
778;1;279;2;5;2;0;0;HB;IRL;Groups;TA/TO;0;A;A;No Deposit;63.4;0;Canceled;07/07/2015
779;1;279;2;5;2;0;0;HB;IRL;Groups;TA/TO;0;A;A;No Deposit;63.4;0;Canceled;07/07/2015
780;1;279;2;5;2;0;0;HB;IRL;Groups;TA/TO;0;A;A;No Deposit;63.4;0;Canceled;07/07/2015
781;1;279;2;5;2;0;0;HB;IRL;Groups;TA/TO;0;A;A;No Deposit;63.4;0;Canceled;07/07/2015
2023;0;70;2;3;2;0;0;HB;ROU;Direct;Direct;0;E;E;No Deposit;137;0;Check-Out;07/07/2015
2025;0;72;2;2;2;0;0;BB;DEU;Offline TA/TO;TA/TO;0;A;A;No Deposit;110.7;1;Check-Out;07/07/2015
2027;0;98;2;1;2;0;0;BB;FRA;Offline TA/TO;TA/TO;0;D;D;No Deposit;71.55;1;Check-Out;07/07/2015
2755;1;279;2;5;2;0;0;HB;IRL;Groups;TA/TO;0;A;A;No Deposit;63.4;0;Canceled;07/07/2015
2756;1;279;2;5;2;0;0;HB;IRL;Groups;TA/TO;0;A;A;No Deposit;63.4;0;Canceled;07/07/2015
2757;1;279;2;5;2;0;0;HB;IRL;Groups;TA/TO;0;A;A;No Deposit;63.4;0;Canceled;07/07/2015
3991;1;57;4;10;2;2;0;BB;PRT;Online TA;TA/TO;0;C;C;No Deposit;135.53;0;Canceled;07/07/2015
4705;1;279;2;5;2;0;0;HB;IRL;Groups;TA/TO;0;A;A;No Deposit;63.4;0;Canceled;07/07/2015
5894;0;45;2;3;2;0;0;BB;IRL;Offline TA/TO;TA/TO;0;D;D;No Deposit;79.5;0;Check-Out;07/07/2015
6631;1;279;2;5;2;0;0;HB;IRL;Groups;TA/TO;0;A;A;No Deposit;63.4;0;Canceled;07/07/2015
8670;1;279;2;5;2;0;0;HB;IRL;Groups;TA/TO;0;A;A;No Deposit;63.4;0;Canceled;07/07/2015
9947;0;16;2;3;2;0;0;BB;ESP;Direct;Direct;0;F;F;No Deposit;123;0;Check-Out;07/07/2015
9948;0;70;2;3;2;0;0;HB;ROU;Direct;Direct;0;E;E;No Deposit;137;0;Check-Out;07/07/2015
11886;0;72;2;4;2;0;0;BB;PRT;Direct;Direct;0;A;A;No Deposit;84.67;0;Check-Out;07/07/2015
12635;1;279;2;5;2;0;0;HB;IRL;Groups;TA/TO;0;A;A;No Deposit;63.4;0;Canceled;07/07/2015
13852;0;72;2;4;2;0;0;BB;PRT;Direct;Direct;0;D;D;No Deposit;99.67;0;Check-Out;07/07/2015
13858;0;80;2;0;2;0;0;BB;FRA;Online TA;TA/TO;0;D;E;No Deposit;97;1;Check-Out;07/07/2015
13861;0;2;1;0;2;1;0;BB;PRT;Direct;Direct;0;A;E;No Deposit;131;0;Check-Out;07/07/2015
14607;1;279;2;5;2;0;0;HB;IRL;Groups;TA/TO;0;A;A;No Deposit;63.4;0;Canceled;07/07/2015
16621;1;279;2;5;2;0;0;HB;IRL;Groups;TA/TO;0;A;A;No Deposit;63.4;0;Canceled;07/07/2015
17986;1;94;2;7;2;0;0;BB;PRT;Online TA;TA/TO;0;D;D;No Deposit;123.56;0;Canceled;07/07/2015
119;1;143;2;5;2;0;0;BB;PRT;Groups;TA/TO;0;A;A;Non Refund;36.05;0;Canceled;08/07/2015
782;1;239;1;1;2;0;0;HB;PRT;Offline TA/TO;TA/TO;0;A;A;No Deposit;34;0;Canceled;08/07/2015
783;1;260;2;5;2;0;0;BB;PRT;Offline TA/TO;TA/TO;0;A;A;Non Refund;54.99;0;Canceled;08/07/2015
2758;1;239;1;1;2;0;0;HB;PRT;Offline TA/TO;TA/TO;0;A;A;No Deposit;34;0;Canceled;08/07/2015
3952;0;77;2;5;2;0;0;BB;PRT;Online TA;TA/TO;0;A;A;No Deposit;94;0;Check-Out;08/07/2015
4069;1;143;2;5;2;0;0;BB;PRT;Groups;TA/TO;0;A;A;Non Refund;36.05;0;Canceled;08/07/2015
5893;0;48;2;5;2;0;0;BB;IRL;Offline TA/TO;TA/TO;0;D;D;No Deposit;79.5;0;Check-Out;08/07/2015
6002;1;143;2;5;2;0;0;BB;PRT;Groups;TA/TO;0;A;A;Non Refund;36.05;0;Canceled;08/07/2015
7975;1;77;2;7;2;0;0;BB;PRT;Online TA;TA/TO;0;A;A;No Deposit;87.33;0;Canceled;08/07/2015
7990;1;143;2;5;2;0;0;BB;PRT;Groups;TA/TO;0;A;A;Non Refund;36.05;0;Canceled;08/07/2015
7991;1;143;2;5;2;0;0;BB;PRT;Groups;TA/TO;0;A;A;Non Refund;36.05;0;Canceled;08/07/2015
7992;1;143;2;5;2;0;0;BB;PRT;Groups;TA/TO;0;A;A;Non Refund;36.05;0;Canceled;08/07/2015
10719;0;127;2;4;2;0;0;BB;GBR;Offline TA/TO;TA/TO;0;A;A;No Deposit;55.68;0;Check-Out;08/07/2015
10720;0;149;2;5;2;1;0;BB;IRL;Offline TA/TO;TA/TO;0;A;A;No Deposit;69.6;0;Check-Out;08/07/2015
10721;0;139;2;1;2;0;0;BB;BRA;Online TA;TA/TO;0;A;C;No Deposit;122.7;1;Check-Out;08/07/2015
10722;1;239;1;1;2;0;0;HB;PRT;Offline TA/TO;TA/TO;0;A;A;No Deposit;34;0;Canceled;08/07/2015
10723;1;260;2;5;2;0;0;BB;PRT;Offline TA/TO;TA/TO;0;A;A;Non Refund;54.99;0;Canceled;08/07/2015
11887;0;78;2;5;2;0;0;BB;PRT;Offline TA/TO;TA/TO;0;D;D;No Deposit;63.6;1;Check-Out;08/07/2015
11897;1;1;0;1;2;0;0;BB;PRT;Corporate;Corporate;0;A;A;No Deposit;104.72;0;Canceled;08/07/2015
12636;1;260;2;5;2;0;0;BB;PRT;Offline TA/TO;TA/TO;0;A;A;Non Refund;54.99;0;Canceled;08/07/2015
12637;1;260;2;5;2;0;0;BB;PRT;Offline TA/TO;TA/TO;0;A;A;Non Refund;54.99;0;Canceled;08/07/2015
13853;0;99;2;5;2;0;0;BB;PRT;Online TA;TA/TO;0;D;D;No Deposit;87.3;1;Check-Out;08/07/2015
13880;1;42;0;2;2;0;0;BB;PRT;Online TA;TA/TO;0;E;E;No Deposit;157;0;Canceled;08/07/2015
14608;0;149;2;5;2;0;0;BB;IRL;Offline TA/TO;TA/TO;0;A;A;No Deposit;55.68;0;Check-Out;08/07/2015
14609;1;246;2;5;2;0;0;BB;NULL;Offline TA/TO;TA/TO;0;A;A;No Deposit;58.95;0;Canceled;08/07/2015
15836;0;69;2;4;2;0;0;BB;IRL;Offline TA/TO;TA/TO;0;A;C;No Deposit;65.5;0;Check-Out;08/07/2015
15846;0;0;0;1;3;0;0;HB;PRT;Direct;Direct;0;C;C;No Deposit;195;1;Check-Out;08/07/2015
15956;1;143;2;5;2;0;0;BB;PRT;Groups;TA/TO;0;A;A;Non Refund;36.05;0;Canceled;08/07/2015
17889;0;0;0;1;1;0;0;BB;GBR;Online TA;TA/TO;0;A;A;No Deposit;109.8;0;Check-Out;08/07/2015
18640;0;145;2;5;2;0;0;HB;GBR;Offline TA/TO;TA/TO;0;A;A;No Deposit;82.35;0;Check-Out;08/07/2015
784;0;152;2;5;1;0;0;HB;GBR;Offline TA/TO;TA/TO;0;A;A;No Deposit;60.35;0;Check-Out;09/07/2015
2024;0;113;2;5;2;0;0;BB;NOR;Offline TA/TO;TA/TO;0;D;D;No Deposit;67.58;0;Check-Out;09/07/2015
2759;0;226;2;5;2;0;0;BB;IRL;Offline TA/TO;TA/TO;0;E;E;No Deposit;87.75;0;Check-Out;09/07/2015
7884;0;96;2;5;2;0;0;BB;ESP;Offline TA/TO;TA/TO;0;A;A;No Deposit;58.95;0;Check-Out;09/07/2015
11888;0;113;2;5;2;0;0;BB;NOR;Offline TA/TO;TA/TO;0;E;E;No Deposit;82.88;0;Check-Out;09/07/2015
13854;0;107;2;5;2;0;0;BB;PRT;Online TA;TA/TO;0;A;A;No Deposit;110.7;0;Check-Out;09/07/2015
15838;0;50;2;5;2;0;0;HB;IRL;Online TA;TA/TO;0;E;F;No Deposit;119.35;0;Check-Out;09/07/2015
16622;0;147;0;2;2;0;0;BB;CN;Direct;Direct;0;A;A;No Deposit;58.95;0;Check-Out;09/07/2015
18641;0;183;1;2;2;0;0;HB;PRT;Online TA;TA/TO;0;A;A;No Deposit;100.8;0;Check-Out;09/07/2015
7;0;81;1;3;2;2;0;HB;CHE;Direct;Direct;0;G;G;No Deposit;210;1;Check-Out;10/07/2015
785;0;103;2;3;2;0;0;HB;PRT;Direct;Direct;0;A;A;No Deposit;99.7;0;Check-Out;10/07/2015
2761;0;230;1;3;2;0;0;BB;PRT;Online TA;TA/TO;0;A;C;No Deposit;123;0;Check-Out;10/07/2015
3959;0;1;0;2;2;0;0;BB;CHE;Corporate;Corporate;0;A;F;No Deposit;104.72;1;Check-Out;10/07/2015
4706;0;183;2;4;2;0;0;BB;PRT;Offline TA/TO;TA/TO;0;A;A;No Deposit;55.68;0;Check-Out;10/07/2015
6010;1;107;2;5;2;0;0;BB;PRT;Online TA;TA/TO;0;D;D;No Deposit;55;0;Canceled;10/07/2015
6589;0;103;2;3;2;1;0;HB;PRT;Direct;Undefined;0;A;A;No Deposit;112.7;1;Check-Out;10/07/2015
6632;0;186;0;3;2;0;0;BB;NLD;Online TA;TA/TO;0;A;A;No Deposit;123;0;Check-Out;10/07/2015
7888;0;104;1;3;2;0;0;BB;PRT;Online TA;TA/TO;0;A;C;No Deposit;73.8;0;Check-Out;10/07/2015
9952;0;101;2;5;2;1;0;BB;PRT;Online TA;TA/TO;0;D;D;No Deposit;99.3;1;Check-Out;10/07/2015
9984;1;16;1;1;2;0;0;BB;PRT;Online TA;TA/TO;0;A;A;No Deposit;153;0;Canceled;10/07/2015
10724;0;121;2;5;2;0;0;BB;BRA;Offline TA/TO;TA/TO;0;A;A;No Deposit;58.95;0;Check-Out;10/07/2015
11895;0;30;2;3;2;0;0;BB;ESP;Online TA;TA/TO;0;E;E;No Deposit;123;0;Check-Out;10/07/2015
13920;1;93;1;4;2;0;0;BB;PRT;Online TA;TA/TO;0;E;E;No Deposit;192.2;0;Canceled;10/07/2015
15847;0;17;0;1;2;2;0;BB;PRT;Online TA;TA/TO;0;C;C;No Deposit;123;0;Check-Out;10/07/2015
16586;0;0;0;1;1;0;0;BB;PRT;Direct;Direct;0;L;A;No Deposit;82;0;Check-Out;10/07/2015
16623;0;121;2;5;2;0;0;BB;ITA;Offline TA/TO;TA/TO;0;A;A;No Deposit;88.95;0;Check-Out;10/07/2015
16624;0;20;0;1;1;0;0;BB;PRT;Corporate;Corporate;0;A;A;No Deposit;80;0;Check-Out;10/07/2015
17887;0;94;1;3;3;0;0;BB;CN;Offline TA/TO;TA/TO;0;D;D;No Deposit;171.32;0;Check-Out;10/07/2015
2029;0;102;2;5;2;0;1;BB;PRT;Online TA;TA/TO;0;A;A;No Deposit;73.8;0;Check-Out;11/07/2015
2032;0;68;0;3;2;0;0;BB;GBR;Online TA;TA/TO;0;E;E;No Deposit;107;0;Check-Out;11/07/2015
3953;0;78;2;5;2;0;1;HB;PRT;Online TA;TA/TO;0;E;F;No Deposit;139;0;Check-Out;11/07/2015
3955;0;115;1;4;2;2;0;BB;PRT;Online TA;TA/TO;0;G;G;No Deposit;167;0;Check-Out;11/07/2015
3961;0;10;0;1;2;0;0;BB;USA;Direct;Direct;0;A;A;No Deposit;131;0;Check-Out;11/07/2015
4707;0;186;0;4;2;0;0;BB;CN;Online TA;TA/TO;0;E;E;No Deposit;154;0;Check-Out;11/07/2015
5902;0;34;1;4;2;0;0;HB;PRT;Direct;Direct;0;F;F;No Deposit;175;1;Check-Out;11/07/2015
5903;0;66;0;4;2;0;0;BB;PRT;Online TA;TA/TO;0;D;D;No Deposit;97;0;Check-Out;11/07/2015
6633;0;158;2;5;2;0;0;BB;GBR;Online TA;TA/TO;0;E;E;No Deposit;154;0;Check-Out;11/07/2015
6634;0;151;0;4;2;1;0;HB;PRT;Direct;Direct;0;E;E;No Deposit;141.2;1;Check-Out;11/07/2015
8671;0;151;0;4;2;2;0;HB;PRT;Direct;Direct;0;G;G;No Deposit;157.25;0;Check-Out;11/07/2015
11893;0;115;2;5;2;0;0;BB;PRT;Offline TA/TO;TA/TO;0;A;A;No Deposit;58.95;0;Check-Out;11/07/2015
11924;1;39;0;1;2;0;0;BB;PRT;Online TA;TA/TO;0;A;A;No Deposit;120.6;0;Canceled;11/07/2015
12638;0;149;2;5;2;0;0;HB;PRT;Online TA;TA/TO;0;A;A;No Deposit;112;0;Check-Out;11/07/2015
12639;1;164;2;5;2;0;0;BB;PRT;Direct;Direct;0;E;H;No Deposit;115;0;Canceled;11/07/2015
13857;0;52;2;5;2;0;0;BB;GBR;Online TA;TA/TO;0;A;A;No Deposit;67.24;0;Check-Out;11/07/2015
13859;0;90;2;4;2;0;0;BB;PRT;Online TA;TA/TO;0;A;A;No Deposit;82;0;Check-Out;11/07/2015
13955;1;89;1;5;2;0;0;BB;PRT;Online TA;TA/TO;0;A;A;No Deposit;62;0;Canceled;11/07/2015
15840;0;81;2;6;3;0;0;BB;PRT;Offline TA/TO;TA/TO;0;D;D;No Deposit;85.86;0;Check-Out;11/07/2015
15935;1;73;1;4;1;0;0;BB;PRT;Online TA;TA/TO;0;A;A;No Deposit;72;0;Canceled;11/07/2015
16589;0;14;1;4;2;0;0;BB;NULL;Offline TA/TO;TA/TO;0;A;C;No Deposit;58.95;0;Check-Out;11/07/2015
16625;0;151;0;4;2;2;0;HB;CHE;Direct;Direct;0;G;G;No Deposit;157.25;0;Check-Out;11/07/2015
16626;0;137;0;4;2;0;0;BB;PRT;Online TA;TA/TO;0;A;A;No Deposit;110.7;0;Check-Out;11/07/2015
17888;0;28;1;4;2;0;0;BB;PRT;Online TA;TA/TO;0;E;E;No Deposit;123;0;Check-Out;11/07/2015
18034;1;164;2;1;2;0;0;BB;PRT;Online TA;TA/TO;0;A;A;No Deposit;29.16;0;Canceled;11/07/2015
8;0;98;1;5;2;0;0;HB;ESP;Online TA;TA/TO;0;A;C;No Deposit;117.8;1;Check-Out;12/07/2015
11;0;91;0;2;2;0;0;BB;PRT;Online TA;TA/TO;0;A;A;No Deposit;73.8;0;Check-Out;12/07/2015
14;0;0;0;1;2;0;0;HB;DEU;Online TA;TA/TO;0;A;A;No Deposit;144.9;0;Check-Out;12/07/2015
2033;0;5;0;4;2;0;0;BB;ESP;Online TA;TA/TO;0;D;D;No Deposit;146;0;Check-Out;12/07/2015
2035;0;23;0;2;2;0;0;BB;PRT;Online TA;TA/TO;0;A;A;No Deposit;98;0;Check-Out;12/07/2015
2040;0;0;0;1;2;0;0;BB;ESP;Online TA;TA/TO;0;A;A;No Deposit;131;0;Check-Out;12/07/2015
3960;0;78;0;3;2;0;1;BB;PRT;Online TA;TA/TO;0;A;A;No Deposit;82;0;Check-Out;12/07/2015
7893;0;7;0;4;2;0;0;BB;PRT;Online TA;TA/TO;0;A;A;No Deposit;131;1;Check-Out;12/07/2015
7895;0;11;0;2;2;0;0;BB;PRT;Online TA;TA/TO;0;A;A;No Deposit;110.5;0;Check-Out;12/07/2015
8672;0;134;0;4;2;0;0;BB;PRT;Direct;Direct;0;D;D;No Deposit;84.15;0;Check-Out;12/07/2015
9951;0;99;2;7;2;0;0;BB;FRA;Offline TA/TO;TA/TO;0;A;A;No Deposit;58.95;0;Check-Out;12/07/2015
10725;0;184;2;5;2;0;0;BB;IRL;Offline TA/TO;TA/TO;0;A;A;No Deposit;55.68;0;Check-Out;12/07/2015
11898;0;22;0;2;2;0;0;BB;PRT;Online TA;TA/TO;0;A;A;No Deposit;88.2;0;Check-Out;12/07/2015
11899;0;3;0;2;2;0;0;BB;PRT;Online TA;TA/TO;0;A;A;No Deposit;131;0;Check-Out;12/07/2015
11900;0;91;0;2;2;0;0;BB;PRT;Online TA;TA/TO;0;A;A;No Deposit;73.8;0;Check-Out;12/07/2015
12640;0;123;2;5;2;0;0;BB;PRT;Offline TA/TO;TA/TO;0;A;A;No Deposit;58.95;0;Check-Out;12/07/2015
13863;0;83;0;4;2;0;0;BB;PRT;Offline TA/TO;TA/TO;0;A;A;No Deposit;110.7;0;Check-Out;12/07/2015
14610;0;130;2;6;2;0;0;HB;PRT;Offline TA/TO;TA/TO;0;D;D;No Deposit;96.95;1;Check-Out;12/07/2015
15845;0;97;2;5;2;2;0;HB;PRT;Direct;Direct;0;C;C;No Deposit;164.2;1;Check-Out;12/07/2015
15848;0;13;0;2;2;1;0;HB;PRT;Online TA;TA/TO;0;G;G;No Deposit;185;1;Check-Out;12/07/2015
15851;0;90;2;5;2;0;0;FB;PRT;Offline TA/TO;TA/TO;0;A;A;No Deposit;117.22;0;Check-Out;12/07/2015
3;0;93;3;8;2;0;0;BB;IRL;Offline TA/TO;TA/TO;0;A;A;No Deposit;56.01;0;Check-Out;13/07/2015
2036;0;106;1;2;2;0;0;BB;GBR;Online TA;TA/TO;0;E;E;No Deposit;96.3;0;Check-Out;13/07/2015
2120;1;80;1;3;2;0;0;BB;PRT;Online TA;TA/TO;0;E;E;No Deposit;63.14;0;Canceled;13/07/2015
7885;0;364;3;7;2;0;0;BB;GBR;Offline TA/TO;TA/TO;0;A;A;No Deposit;55.68;0;Check-Out;13/07/2015
7901;0;71;1;1;2;0;0;BB;ESP;Offline TA/TO;TA/TO;0;A;A;No Deposit;65.5;0;Check-Out;13/07/2015
7908;1;57;0;2;2;0;0;FB;PRT;Groups;Direct;0;A;A;No Deposit;0;0;Canceled;13/07/2015
8673;0;143;1;3;2;0;0;BB;GBR;Offline TA/TO;TA/TO;0;A;A;No Deposit;58.23;0;Check-Out;13/07/2015
8674;0;159;2;5;2;0;0;BB;PRT;Offline TA/TO;TA/TO;0;D;D;No Deposit;71.55;0;Check-Out;13/07/2015
8675;0;142;3;8;2;0;0;HB;DEU;Offline TA/TO;TA/TO;0;D;D;No Deposit;89.68;0;Check-Out;13/07/2015
10726;0;158;2;5;2;0;0;BB;ESP;Online TA;TA/TO;0;A;A;No Deposit;110.7;0;Check-Out;13/07/2015
12641;0;135;1;4;2;0;0;BB;IRL;Offline TA/TO;TA/TO;0;A;A;No Deposit;55.68;0;Check-Out;13/07/2015
12642;0;84;3;8;3;0;0;FB;PRT;Offline TA/TO;TA/TO;0;E;E;No Deposit;199.5;1;Check-Out;13/07/2015
13864;0;53;1;0;2;2;0;BB;CN;Online TA;TA/TO;0;G;G;No Deposit;153;1;Check-Out;13/07/2015
14611;0;129;1;3;2;0;0;BB;IRL;Offline TA/TO;TA/TO;0;A;A;No Deposit;55.68;0;Check-Out;13/07/2015
15849;0;84;1;1;2;0;0;HB;PRT;Corporate;Corporate;0;A;A;No Deposit;100;1;Check-Out;13/07/2015
15941;1;80;1;3;2;0;0;BB;PRT;Online TA;TA/TO;0;D;D;No Deposit;55.44;0;Canceled;13/07/2015
17898;0;16;1;1;2;0;0;BB;ROU;Online TA;TA/TO;0;C;C;No Deposit;123;0;Check-Out;13/07/2015
17908;1;10;0;3;2;0;0;BB;PRT;Direct;Direct;0;A;A;No Deposit;134;0;Canceled;13/07/2015
17911;1;7;0;2;2;0;0;BB;PRT;Direct;Direct;0;A;A;No Deposit;127.25;0;Canceled;13/07/2015
17953;1;74;2;5;2;0;0;BB;PRT;Online TA;TA/TO;0;E;E;No Deposit;123;0;Canceled;13/07/2015
17973;1;80;1;3;1;0;0;BB;PRT;Online TA;TA/TO;0;D;D;No Deposit;55.44;0;Canceled;13/07/2015
18643;0;143;1;3;3;0;0;BB;GBR;Offline TA/TO;TA/TO;0;A;A;No Deposit;78.6;0;Check-Out;13/07/2015
